#Bat,#P,25-Man,2B,3B,AB,Avg_Salary,BA,BB9,BB_x,BB_y,BF,BK,BatAge,Buried,CG,CS,Disabled List,ER,ERA,ERA+,FIP,GDP,GF,GS,G_x,G_y,H9,HBP_x,HBP_y,HR9,HR_x,HR_y,H_x,H_y,IBB_x,IBB_y,IP,LOB_x,LOB_y,OBP,OPS,OPS+,PA,PAge,R/G,RA/G,RBI,R_x,R_y,Rank,Retained,Roster,SB,SF,SH,SLG,SO/W,SO9,SO_x,SO_y,SV,Suspended,TB,Tm,Total Payroll,W,WHIP,WP,Year,cSho,tSho
50,25,112952717.0,269,23,5438,2684104.8222222216,0.252,3.3,481,539,6068,2,30.4,,2,44,,538,3.34,114,3.64,139,160,162,162,162,7.9,52,45,0.8,116,122,1369,1277,49,62,1449.2,1112,1122,0.317,0.69,91,6091,29.0,3.93,3.69,607,637,597,,,45,104,38,82,0.374,2.37,7.9,1156,1276,40,,2032,LAD,120784717.0,86,1.253,46,2012,2,10
45,21,81018688.0,261,39,5437,2459824.35,0.244,3.1,484,495,6186,4,28.3,,5,41,,655,4.09,100,3.9,114,157,162,162,162,9.0,35,55,0.8,137,133,1327,1448,46,61,1440.2,1092,1140,0.308,0.69,85,6057,28.8,3.76,4.47,576,609,724,,,40,149,40,60,0.382,2.25,7.0,1228,1113,38,,2077,MIA,98392974.0,69,1.349,36,2012,3,7
46,23,108461584.0,300,39,5557,2359687.234042553,0.259,3.3,466,525,6245,5,29.1,,0,39,,682,4.22,98,3.82,111,162,162,162,162,9.0,90,31,1.0,202,169,1442,1458,35,20,1453.2,1104,1151,0.325,0.762,101,6225,29.0,4.79,4.52,741,776,733,,,47,158,35,76,0.4370000000000001,2.67,8.7,1240,1402,44,,2426,MIL,110905300.0,83,1.364,57,2012,0,9
47,25,109130327.0,270,30,5562,2227149.5306122447,0.26,2.9,505,465,6214,2,28.8,,3,37,,762,4.77,86,4.66,149,159,162,162,162,9.6,53,57,1.2,131,198,1448,1536,28,43,1438.2,1144,1066,0.325,0.715,98,6209,27.8,4.33,5.14,666,701,832,,,49,135,56,33,0.39,2.03,5.9,1069,943,35,,2171,MIN,109130327.0,66,1.391,60,2012,1,6
49,28,101930952.0,286,21,5450,2462080.8372093025,0.249,3.1,503,488,6086,3,27.9,,7,38,,651,4.09,93,3.93,118,155,162,162,162,8.6,42,40,1.0,139,161,1357,1368,43,29,1434.0,1118,1075,0.316,0.701,94,6091,30.3,4.01,4.38,625,650,709,,,43,79,30,64,0.386,2.54,7.8,1250,1240,36,,2102,NYM,105869476.0,74,1.294,40,2012,5,13
45,24,214396932.0,280,13,5524,5440368.0,0.265,2.7,565,431,6085,9,32.9,,6,27,,617,3.84,110,3.98,136,156,162,162,162,8.7,62,49,1.2,245,190,1462,1401,31,32,1445.1,1135,1081,0.337,0.79,112,6231,30.3,4.96,4.12,774,804,668,,,42,93,49,31,0.453,3.06,8.2,1176,1318,51,,2503,NYY,228495456.0,95,1.268,53,2012,2,9
50,25,56723737.0,267,32,5527,1310523.8444444444,0.238,2.8,550,462,6131,5,27.7,,1,32,,569,3.48,112,3.89,97,161,162,162,162,8.3,45,46,0.9,195,147,1315,1360,29,34,1470.0,1095,1107,0.31,0.7140000000000001,99,6183,27.9,4.4,3.79,676,713,614,,,45,122,34,27,0.404,2.46,7.0,1387,1136,47,,2231,OAK,58973573.0,94,1.239,40,2012,0,13
49,24,169582490.0,271,28,5544,3997789.4,0.255,2.5,454,409,6072,3,31.1,,5,23,,618,3.83,105,3.72,114,157,162,162,162,8.6,63,44,1.1,158,178,1414,1387,41,33,1451.1,1135,1038,0.317,0.716,92,6172,29.1,4.22,4.2,659,684,680,,,45,116,39,72,0.4,3.39,8.6,1094,1385,42,,2215,PHI,179900523.0,81,1.237,30,2012,4,11
49,25,58617066.0,241,37,5412,1404619.75,0.243,3.1,444,490,6097,3,27.7,,2,52,,615,3.86,97,3.93,98,160,162,162,162,8.5,51,45,1.0,170,153,1313,1357,32,30,1433.1,1049,1123,0.304,0.6990000000000001,93,6014,30.2,4.02,4.16,620,651,674,,,44,73,45,62,0.395,2.43,7.5,1354,1192,45,,2138,PIT,61803269.0,79,1.289,45,2012,1,10
53,30,60061913.0,272,43,5422,1636908.0256410255,0.247,3.4,539,539,6151,8,27.4,,4,46,,640,4.01,90,4.11,100,158,162,162,162,8.5,54,48,1.0,121,162,1339,1356,36,48,1434.2,1146,1137,0.319,0.6990000000000001,97,6112,28.0,4.02,4.38,610,651,710,,,39,155,34,63,0.38,2.24,7.6,1238,1205,43,,2060,SDP,63839413.0,76,1.321,49,2012,3,11
38,18,73220850.0,241,27,5494,1876431.7777777773,0.234,2.8,466,449,6062,5,27.1,,8,35,,608,3.76,102,4.0,95,154,162,162,162,8.4,30,49,1.0,149,166,1285,1359,21,39,1456.2,1052,1039,0.29600000000000004,0.665,88,6057,27.9,3.82,4.02,584,619,651,,,45,104,35,32,0.369,2.6,7.2,1259,1166,43,,2027,SEA,84439430.0,75,1.241,61,2012,6,11
45,23,122825338.0,287,57,5558,3354224.512195122,0.269,3.0,483,489,6138,4,27.8,,5,39,,593,3.68,96,3.78,114,157,162,162,162,8.4,29,51,0.9,103,142,1495,1361,44,42,1451.0,1171,1136,0.327,0.7240000000000001,106,6200,30.0,4.43,4.01,675,718,649,,,41,118,61,69,0.397,2.53,7.7,1097,1237,53,,2205,SFG,137523205.0,94,1.275,54,2012,4,14
45,24,118985685.0,290,37,5622,2737758.386363636,0.271,2.7,533,436,6158,4,29.2,,4,37,,603,3.71,103,3.62,135,158,162,162,162,8.7,53,50,0.8,159,134,1526,1420,45,28,1462.2,1198,1122,0.338,0.759,107,6326,28.6,4.72,4.0,732,765,648,,,44,91,49,69,0.421,2.79,7.5,1192,1218,42,,2367,STL,120461369.0,88,1.269,46,2012,2,10
43,18,68232330.0,250,30,5398,1848482.3684210528,0.24,2.9,571,469,6000,4,29.7,,7,44,,518,3.19,121,3.51,133,155,162,162,162,7.6,58,54,0.9,175,139,1293,1233,26,35,1459.2,1058,1044,0.317,0.711,99,6105,28.1,4.3,3.56,665,697,577,,,38,134,42,34,0.394,2.95,8.5,1323,1383,50,,2128,TBR,70242330.0,90,1.166,59,2012,4,15
39,21,134976346.0,303,32,5590,3455658.65,0.273,2.8,478,446,6067,8,29.7,,7,44,,639,3.99,109,3.9,121,155,162,162,162,8.6,57,41,1.1,200,175,1526,1378,44,15,1442.0,1113,1034,0.334,0.78,105,6216,28.8,4.99,4.36,780,808,707,,,40,91,53,36,0.446,2.88,8.0,1103,1286,43,,2493,TEX,138226346.0,93,1.265,53,2012,2,10
54,34,90559953.0,247,22,5487,2316521.9523809524,0.245,3.6,473,574,6216,7,27.8,,5,41,,745,4.64,91,4.66,109,157,162,162,162,9.0,55,55,1.3,198,204,1346,1439,29,20,1443.2,1026,1101,0.309,0.716,94,6094,27.8,4.42,4.84,677,716,784,,,42,123,45,33,0.407,1.99,7.1,1251,1142,29,,2231,TOR,97293922.0,73,1.394,56,2012,4,11
